===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-06-25 01:02:51
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
59.174.116.45:7777        | 贵州卫视            |   0.09 Mbps | 100%
59.174.116.246:7777       | 黑龙江卫视           |   0.87 Mbps | 100%
59.174.116.246:7777       | CCTV15          |   2.09 Mbps | 100%
125.42.149.83:9901        | CCTV13新闻        |    1.5 Mbps | 100%
115.48.160.79:9901        | 东南卫视            |   0.43 Mbps | 100%
115.48.160.79:9901        | CCTV9纪录         |   0.56 Mbps | 100%
106.115.24.163:9901       | 贵州卫视            |   1.12 Mbps | 100%
106.115.24.163:9901       | 河北经济            |   0.34 Mbps | 100%
125.43.240.171:85         | CCTV15          |   1.13 Mbps | 100%
1.192.152.110:9901        | 河南民生频道          |   7.52 Mbps |   0%
1.192.152.110:9901        | CCTV3           |   8.18 Mbps |  77%
221.13.232.109:9901       | CCTV10          |   3.43 Mbps | 100%
122.137.195.203:9901      | 河北卫视            |   0.63 Mbps | 100%
122.137.195.203:9901      | 黑龙江卫视           |   0.35 Mbps | 100%
221.232.196.81:7777       | CCTV11          |   1.14 Mbps | 100%
221.232.196.81:7777       | 河南卫视            |   1.13 Mbps | 100%
221.232.196.127:7777      | 黑龙江卫视           |   5.89 Mbps |  14%
221.232.196.127:7777      | CCTV1           |   3.16 Mbps | 100%
139.227.221.97:9901       | CCTV13          |   7.72 Mbps |   0%
139.227.221.97:9901       | 浙江卫视            |   7.66 Mbps |   0%
219.137.202.146:9901      | 嘉佳卡通            |   8.34 Mbps |   0%
219.137.202.146:9901      | 广东体育            |   8.23 Mbps |   0%
219.137.202.76:9901       | 广东少儿            |    3.5 Mbps | 100%
219.137.202.76:9901       | CCTV12社会与法      |   0.53 Mbps | 100%
219.137.202.191:9901      | 广东少儿            |   3.11 Mbps | 100%
219.137.202.191:9901      | IPTV热播剧场        |    1.1 Mbps | 100%
219.137.202.219:9901      | CCTV2财经         |   1.26 Mbps |  40%
219.137.202.219:9901      | CCTV6电影         |   1.75 Mbps |   0%
221.15.20.47:9901         | 浙江卫视            |   7.82 Mbps |   0%
221.15.20.47:9901         | CCTV7军农         |   7.92 Mbps |   0%
125.42.151.43:9901        | CCTV10          |   4.46 Mbps |  30%
144.52.161.249:9901       | CCTV9           |   0.34 Mbps | 100%
144.52.161.249:9901       | 浙江卫视            |   0.18 Mbps | 100%
220.187.221.101:85        | CCTV6           |   4.42 Mbps |   0%
220.187.221.101:85        | 山西卫视            |   2.72 Mbps |   0%
220.187.222.76:9901       | 安徽卫视            |   6.71 Mbps |  86%
220.187.222.76:9901       | 东南卫视            |   6.01 Mbps |  90%
113.65.162.121:9901       | IPTV热播剧场        |   2.42 Mbps |  14%
183.10.180.220:212        | CCTV8电视剧        |   3.86 Mbps | 100%
183.10.180.220:212        | CCTV6电影         |   2.17 Mbps |   0%
110.241.191.46:808        | 北京卫视            |   0.05 Mbps | 100%
183.186.253.204:85        | CCTV1           |   2.19 Mbps | 100%
183.186.253.204:85        | 山西卫视            |   2.06 Mbps | 100%
113.90.244.247:85         | 贵州卫视            |   0.36 Mbps | 100%
113.90.244.247:85         | 湖北卫视            |    0.3 Mbps | 100%
61.185.200.161:9901       | 贵州卫视            |   1.45 Mbps |  61%
61.185.200.161:9901       | 四川卫视            |   1.99 Mbps |  72%
180.118.187.197:60001     | CCTV3           |   2.58 Mbps |   0%
180.118.187.197:60001     | CCTV9           |    3.7 Mbps |   0%
183.7.17.9:808            | 吉林卫视            |   0.05 Mbps |  95%
183.7.17.9:808            | 风云剧场            |   0.05 Mbps |  92%
101.18.30.210:808         | 天津卫视            |   1.14 Mbps | 100%
101.18.30.210:808         | 中央12            |   0.71 Mbps | 100%
1.197.248.228:85          | CCTV1           |   0.16 Mbps | 100%

📊 综合汇总 (Summary):
221.7.175.127:9901        | 有效频道:2 | 平均: 0.96 Mbps
171.38.194.92:8082        | 有效频道:2 | 平均: 0.22 Mbps
219.159.91.10:8801        | 有效频道:2 | 平均: 0.27 Mbps
112.123.243.37:50085      | 有效频道:1 | 平均: 4.75 Mbps
219.144.157.62:9901       | 有效频道:2 | 平均: 0.02 Mbps
36.136.38.87:9901         | 有效频道:2 | 平均: 3.54 Mbps
61.136.172.236:9901       | 有效频道:2 | 平均: 0.07 Mbps
121.24.98.227:85          | 有效频道:2 | 平均: 0.39 Mbps
144.123.165.186:9901      | 有效频道:2 | 平均: 2.02 Mbps
113.241.135.29:85         | 有效频道:2 | 平均: 3.39 Mbps
120.196.235.42:9901       | 有效频道:1 | 平均: 0.94 Mbps
114.241.108.91:85         | 有效频道:2 | 平均: 4.08 Mbps
119.39.9.8:9901           | 有效频道:2 | 平均: 4.54 Mbps
113.241.135.29:9901       | 有效频道:1 | 平均: 3.24 Mbps
183.190.223.28:888        | 有效频道:2 | 平均: 3.57 Mbps
110.72.52.24:8181         | 有效频道:2 | 平均: 6.98 Mbps
119.51.53.120:9901        | 有效频道:2 | 平均: 0.32 Mbps
175.22.10.193:85          | 有效频道:2 | 平均: 0.12 Mbps
120.70.60.179:9901        | 有效频道:2 | 平均: 3.81 Mbps
112.30.73.119:9901        | 有效频道:2 | 平均: 2.39 Mbps
112.27.5.218:9901         | 有效频道:2 | 平均: 6.63 Mbps
106.32.133.109:9999       | 有效频道:2 | 平均: 3.96 Mbps
183.131.110.207:85        | 有效频道:1 | 平均: 1.69 Mbps
183.11.239.36:808         | 有效频道:2 | 平均: 0.15 Mbps
171.12.10.67:9901         | 有效频道:2 | 平均: 0.12 Mbps
113.25.252.226:9901       | 有效频道:2 | 平均: 1.97 Mbps
124.88.238.50:9003        | 有效频道:2 | 平均: 2.03 Mbps
171.124.179.31:9999       | 有效频道:1 | 平均: 1.15 Mbps
123.129.70.178:9901       | 有效频道:1 | 平均: 0.17 Mbps
180.165.12.42:50001       | 有效频道:1 | 平均: 3.53 Mbps
120.198.95.220:9901       | 有效频道:2 | 平均: 2.88 Mbps
153.0.171.163:9901        | 有效频道:2 | 平均: 2.24 Mbps
116.77.33.98:44330        | 有效频道:2 | 平均: 1.25 Mbps
171.213.223.208:808       | 有效频道:2 | 平均: 0.68 Mbps
154.50.18.45:9901         | 有效频道:2 | 平均: 0.79 Mbps
180.141.153.247:8989      | 有效频道:2 | 平均: 1.48 Mbps
182.91.79.148:9901        | 有效频道:2 | 平均: 0.24 Mbps
61.143.43.2:9901          | 有效频道:2 | 平均: 4.57 Mbps
218.13.170.98:9901        | 有效频道:2 | 平均: 0.55 Mbps
59.173.120.218:7777       | 有效频道:2 | 平均:  0.2 Mbps
59.173.123.104:7777       | 有效频道:2 | 平均: 1.57 Mbps
59.173.122.165:7777       | 有效频道:2 | 平均: 1.69 Mbps
124.116.183.146:9901      | 有效频道:2 | 平均: 1.06 Mbps
61.178.227.57:9901        | 有效频道:2 | 平均: 2.54 Mbps
123.145.47.247:85         | 有效频道:1 | 平均: 2.33 Mbps
59.175.154.62:7777        | 有效频道:2 | 平均: 0.04 Mbps
219.140.6.199:7777        | 有效频道:2 | 平均: 0.17 Mbps
219.140.5.135:7777        | 有效频道:2 | 平均: 0.04 Mbps
182.140.125.47:808        | 有效频道:2 | 平均: 8.05 Mbps
60.26.18.23:85            | 有效频道:2 | 平均:  3.8 Mbps
120.238.84.45:9901        | 有效频道:2 | 平均: 0.77 Mbps
58.255.201.220:10443      | 有效频道:2 | 平均: 3.25 Mbps
221.205.62.11:9003        | 有效频道:2 | 平均: 8.38 Mbps
120.202.73.48:8888        | 有效频道:2 | 平均: 8.28 Mbps
183.62.8.58:50085         | 有效频道:2 | 平均: 2.73 Mbps
124.165.251.82:85         | 有效频道:2 | 平均: 1.48 Mbps
115.59.0.223:9901         | 有效频道:2 | 平均:  7.5 Mbps
114.241.105.149:85        | 有效频道:2 | 平均: 4.86 Mbps
183.190.222.69:888        | 有效频道:2 | 平均: 1.89 Mbps
119.166.53.110:85         | 有效频道:2 | 平均: 0.21 Mbps
110.241.188.9:808         | 有效频道:2 | 平均:  1.2 Mbps
123.154.44.95:85          | 有效频道:2 | 平均: 3.87 Mbps
122.224.58.42:85          | 有效频道:2 | 平均: 0.82 Mbps
121.19.134.126:808        | 有效频道:2 | 平均: 0.34 Mbps
121.19.134.160:808        | 有效频道:2 | 平均: 0.22 Mbps
125.43.246.208:9901       | 有效频道:2 | 平均: 3.66 Mbps
223.14.160.57:9901        | 有效频道:2 | 平均: 1.16 Mbps
182.207.218.31:999        | 有效频道:2 | 平均: 1.52 Mbps
106.115.27.155:9901       | 有效频道:1 | 平均: 1.89 Mbps
36.40.237.226:9999        | 有效频道:2 | 平均: 5.89 Mbps
36.36.200.39:44330        | 有效频道:2 | 平均: 0.18 Mbps
171.43.65.63:9901         | 有效频道:2 | 平均: 4.85 Mbps
221.232.197.20:7777       | 有效频道:2 | 平均: 3.59 Mbps
221.232.197.207:7777      | 有效频道:2 | 平均: 5.97 Mbps
42.237.154.36:9003        | 有效频道:2 | 平均: 1.02 Mbps
182.114.48.150:9901       | 有效频道:2 | 平均: 5.36 Mbps
123.10.76.101:808         | 有效频道:2 | 平均:  2.1 Mbps
171.14.89.131:9901        | 有效频道:2 | 平均: 0.21 Mbps
182.114.49.72:9901        | 有效频道:2 | 平均: 3.02 Mbps
106.115.25.35:9901        | 有效频道:1 | 平均: 1.55 Mbps
124.228.160.210:9901      | 有效频道:2 | 平均: 4.12 Mbps
221.232.198.64:7777       | 有效频道:2 | 平均: 4.87 Mbps
60.223.94.196:9003        | 有效频道:2 | 平均: 4.79 Mbps
106.115.26.112:9901       | 有效频道:2 | 平均: 1.23 Mbps
221.13.234.5:9901         | 有效频道:1 | 平均: 3.47 Mbps
221.13.234.229:9901       | 有效频道:2 | 平均: 2.09 Mbps
125.42.150.56:9901        | 有效频道:1 | 平均: 0.66 Mbps
101.66.199.73:85          | 有效频道:2 | 平均: 5.23 Mbps
219.137.203.118:9901      | 有效频道:2 | 平均:  1.6 Mbps
219.137.203.143:9901      | 有效频道:2 | 平均: 9.99 Mbps
219.137.203.215:9901      | 有效频道:2 | 平均: 1.58 Mbps
59.174.116.45:7777        | 有效频道:2 | 平均: 0.14 Mbps
59.174.116.246:7777       | 有效频道:2 | 平均: 1.48 Mbps
125.42.149.83:9901        | 有效频道:1 | 平均:  1.5 Mbps
115.48.160.79:9901        | 有效频道:2 | 平均: 0.49 Mbps
106.115.24.163:9901       | 有效频道:2 | 平均: 0.73 Mbps
125.43.240.171:85         | 有效频道:1 | 平均: 1.13 Mbps
1.192.152.110:9901        | 有效频道:2 | 平均: 7.85 Mbps
221.13.232.109:9901       | 有效频道:1 | 平均: 3.43 Mbps
